,company,role,location,link
105,Jumpcloud,Staff Software Engineer - India,Remote in Delhi,https://in.indeed.com/rc/clk?jk=3c9614adca249f21&bb=aJaF9tzCp1a4K_DrMw97qI2sFkbh-kRovCBQNKUJfHwXDDeHP-dm2zh_jKECvdlty6TOONZ8AaG-t9jcltjIWSi3ZXfZAysjfcyXcjqGS9Bd3B3i0n2pwIEvSJJL0Jgw&xkcb=SoAR67M38KK5rNW2th0FbzkdCdPP&fccid=3781128e175fad79&vjs=3
106,Bloom Electronics Private Limited,Application Support Engineer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=343b6e744a940b5b&bb=vRDw_gn7ZMWWDsC_Bm2C16_sMfWxag80k7U9vQke2INb9TCfiCUhTuL94m_YwL34XwDRpFMc0u-q5YCs4BuPzpYUXQp45elNjXtwHFJNqJstaxmcc1plzzXBk0aaKcrf&xkcb=SoBd67M38KK4nC3XpB0LbzkdCdPP&fccid=276ef5975b3fc9e7&cmp=Bloom-Electronics-Private-Limited&ti=Application+Support+Engineer&vjs=3
107,Syndr,DeFi Protocol Developer(Solidity),"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=8a0e14b169c704a6&bb=vRDw_gn7ZMWWDsC_Bm2C1xrViRDQAAeiq1hOl_V_xoId6iYtBfmSSW48m9yMYsMuxW3vZ9CmpYU1fZNz563Y-7Pbiz14vHYpeVQant9hXmRHW2E1Ye0rkAR08xWDv0pQ&xkcb=SoDp67M38KK4nC3XpB0KbzkdCdPP&fccid=9f11432a6f259a26&vjs=3
108,AJAY GOEL TEXTILES PRIVATE LIMITED,Odoo Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=c453eed6767eb4bc&bb=vRDw_gn7ZMWWDsC_Bm2C17hDQVkYKsbunbDo3BHoYUBFKuHfJVidIqjpzwkYSWHJ4Wo6asQxDcP714rC7YgA4uhY74HV9k-9KatZbpE1QviJgrCALGPSoW5rEOrQHz2v&xkcb=SoB067M38KK4nC3XpB0JbzkdCdPP&fccid=098be37c34f58a88&cmp=Ajay-Goel-Textiles-Private-Limited&ti=Developer&vjs=3
109,Open Futures & Commodities,Low Latency Software Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=a3526f144a364e4c&bb=vRDw_gn7ZMWWDsC_Bm2C15L3FjZcEmQtgBSjfJdSIdLwdIohlCkY0edHxfNMagcXWY698jA8wra5MYZCFN8pu_qcvm77qwMhbYdQFfgNnB_6xq4gtVF2jCSUBEMciYzN&xkcb=SoDA67M38KK4nC3XpB0IbzkdCdPP&fccid=5d65a0a6921dc2c3&vjs=3
110,TimesPro,Senior Backend Developer - Node.js,Delhi,https://in.indeed.com/rc/clk?jk=2bb5e8d3786766a1&bb=vRDw_gn7ZMWWDsC_Bm2C1wGmNpg3ZUarHqs78C4hCyxNaVovcWH4oET6j3M9jQBWF_sDmUtKASMJuWESL1erp5YKsEsHUS_x0l5f43QoI3jx90u96naVbx7Is35HLr44&xkcb=SoBO67M38KK4nC3XpB0PbzkdCdPP&fccid=66d0b60738c7db79&vjs=3
111,"Council on Energy, Environment and Water",Programme Associate â€“ Distributed Renewable Energy,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=18b922059693e0cc&bb=vRDw_gn7ZMWWDsC_Bm2C1zYfQzcXmla9Wq4TH3OkDyJX3LIT_bfphaOg1CvFSf5cLzT_t0AUdihJdKDC0jhPFaoESBIwb0OUltp9OQlblqnBIrFrRLM-9I26QiUvsSQP&xkcb=SoD667M38KK4nC3XpB0ObzkdCdPP&fccid=0a66f90fab2ee166&vjs=3
112,Consilium Software,Software Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=21348425db328ad9&bb=vRDw_gn7ZMWWDsC_Bm2C1-eYFyu0ShGbjcTVL8nGl5S9mA7ZLgMhaANsKuBxZE213KMPG94ZETiNXDVg3lr6NX98B4oOS-PQ21Hn9hx1a0QzD-IccH3_tdpe0e5r1I02&xkcb=SoBn67M38KK4nC3XpB0NbzkdCdPP&fccid=23545558e1049d87&vjs=3
113,BigShyft,.NET Developer,Delhi,https://in.indeed.com/rc/clk?jk=61594b84852b87c9&bb=vRDw_gn7ZMWWDsC_Bm2C1wPXtQwn9ax5t3S8LK7Cr2WCiiXP1QYNZ1zk2ZjAACHxtZ-GM0rPCX26iKbFhrchcQaqm23dScG5DeoEWCqnAowJ6hgeI9w1KBDUyaVEk0Xw&xkcb=SoDT67M38KK4nC3XpB0MbzkdCdPP&fccid=df4303b9957be85e&vjs=3
114,"Atari, Inc.",Sr. Software Engineer - Python,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=c9b7ee0fac2c5051&bb=vRDw_gn7ZMWWDsC_Bm2C11H82weqrq3clk5zW2tqTz7yNv3wHfg73kPTj7TU-xm98ZHi6xs7qI6pfXL8a7bAA9aLANqr3IiS7mVAc1pwksLPUhSYkccgzVaabaIzlXfI&xkcb=SoA667M38KK4nC3XpB0DbzkdCdPP&fccid=e7feed9ae34674a5&vjs=3
115,Precognitas Health,Data Scientist,Delhi,https://in.indeed.com/rc/clk?jk=be8ce2cbd2c927d6&bb=vRDw_gn7ZMWWDsC_Bm2C1zCsDZC_W95Wg4Z3s5eIQwM38O88rvY2jXs9yxCL_ALUb6RTxJj31E_TNiNh0rYp-wS4JkFWgn1gsf0sMQPAr9KOcj0fA7ewkdQukfrsxiPx&xkcb=SoCO67M38KK4nC3XpB0CbzkdCdPP&fccid=f9da949e50846d75&vjs=3
116,NeGD,Web Application Developer (PHP),Delhi,https://in.indeed.com/rc/clk?jk=d6abf882b12cfb2b&bb=vRDw_gn7ZMWWDsC_Bm2C1yz585Qp3zMcZeD28PyW7ycjccBcbiCYgvQ50SzZCYYBvmBTp2KgAvaIeCZiadbQPSSfaj2HK9spcp9em4Vbn_nqMgLdEb36ParzaNCaKcHL&xkcb=SoAT67M38KK4nC3XpB0BbzkdCdPP&fccid=e457831f0ffee7b2&vjs=3
117,Finesse Interactive,MEAN Stack Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=1ba35d0b34d7931a&bb=vRDw_gn7ZMWWDsC_Bm2C16f6lUZ7cSMd0Gwd6SE84BkawoCkrmbiSS9Ags5Zh-YvO9zvotZdp8rnMY0RGDwFGS0yCgZjnibDpGLt0PrKZetFMzc5f2eKHxGEsLQMAp9B&xkcb=SoCn67M38KK4nC3XpB0AbzkdCdPP&fccid=a82f0a8bf903e230&vjs=3
118,Paxcom India,Oracle Database Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=84e89a4bfb07fec9&bb=vRDw_gn7ZMWWDsC_Bm2C1w6Hzdq27no6rj0Oo88bQBYuRO_EXiLVtPUEItgRZx6l8ATacukQ-MtvG8rsQ7wCu-AWsVpY0nTxJxYrGg057aLknzVjvRsBNV6KI5IdAMXl&xkcb=SoAp67M38KK4nC3XpB0HbzkdCdPP&fccid=0963aa5c8f6d9b08&vjs=3
119,Crypto Mize,Artificial Intelligence Developer,Delhi,https://in.indeed.com/rc/clk?jk=847f29922c4db6f3&bb=vRDw_gn7ZMWWDsC_Bm2C15MuLuwc8k1MtzdcWMugPWz6InDnBcogISyVBEgbN8Yof2UDyBzBTdBj8oj5jPwKbrLdlJvxudQqP56bAzV0UoZX1ml74_iHn1nw55jXKDGs&xkcb=SoCd67M38KK4nC3XpB0GbzkdCdPP&fccid=bdad58a8df3ba8a4&vjs=3
120,Invokhr,Sr. Software Developer,Delhi,https://in.indeed.com/rc/clk?jk=96d2954594dfb040&bb=vRDw_gn7ZMWWDsC_Bm2C1-3OPrPQM4ejZ5QKxAHlmySS4QHiiA1WNDvl7ukdrLPn2cWQtcl2X_rWbV9WEi9zUuESE_2U6TTn18Q3IOiutsI152Ihi1BUvgTmMcuSLMiO&xkcb=SoAA67M38KK4nC3XpB0FbzkdCdPP&fccid=549aa1dd2b64d8b3&vjs=3
121,Syndr,Quantitative Developer (Derivatives),"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=f0e3c5e0576529b1&bb=DGC1rP8Jns4gI28YbJcCmiazPv1D4EH-JFiq3frsLOkws3omHAGu9w-EUFs6BwU3T-HA0zLONYI_zpDJasLalNFNHObmwUZokbJ8-uSVOARdYz6UXP3gloWdR_4Pr3Zt&xkcb=SoBc67M38KK3_-W9mh0LbzkdCdPP&fccid=9f11432a6f259a26&vjs=3
122,Iotaflow Systems Pvt. Ltd.,IT Engineer / Software Developer,Delhi,https://in.indeed.com/rc/clk?jk=eba8a1a6e01c0da1&bb=DGC1rP8Jns4gI28YbJcCmpT1n3HdreUmY05sm2pCeo7bKFh11R5tXnkKzF1xlcekMP08tLRplp7p__rT-yKbr_GkT3Nf27b6MOqsxBEyi05z2VtAwGhrQAI4OYY6VEsU&xkcb=SoDo67M38KK3_-W9mh0KbzkdCdPP&fccid=a12a9f214d0bf06e&vjs=3
123,Urbanista,Odoo Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=102b9e9b1490d3db&bb=DGC1rP8Jns4gI28YbJcCmsqFEWM05LoJOXreF4jRDo8vkS9H1YDAifinoucYJO1vXDg5-dC6keA7oLAeymVXkcAhHesO0e0GecFU_fDwHZAULgrOkjUx7MJiG9745wp6&xkcb=SoB167M38KK3_-W9mh0JbzkdCdPP&fccid=ff74c973e0ab3805&cmp=Y.-H.-Texpert-Corporation&ti=Developer&vjs=3
124,We credit,Database Administrator,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=52df74a66f3de9a6&bb=DGC1rP8Jns4gI28YbJcCmpOg78oJy_uaMiPf6lGs08urt3MaBpMlLcAM_RzGUkheBvk5gJb70gKrvv-BtQ4v7cVgnqHq5Jm6TXPrZSSuD5qFcn5xSpONx035fyMShBh0&xkcb=SoDB67M38KK3_-W9mh0IbzkdCdPP&fccid=b168cbd4f5d0d2fe&cmp=We-credit&ti=Database+Administrator&vjs=3
125,Precognitas Health,Data Scientist,Delhi,https://in.indeed.com/rc/clk?jk=be8ce2cbd2c927d6&bb=DGC1rP8Jns4gI28YbJcCmpbdwSx1gbk8pA-dPm57O2plhB0LFDvuv12o5KGyAGSkBg-bnHtET1pR18SFYgsnUSuUAAqNHKxePZ5JqW0rXArG1ph2ZH-z9gEVVJ0sq-qC&xkcb=SoBP67M38KK3_-W9mh0PbzkdCdPP&fccid=f9da949e50846d75&vjs=3
126,Finesse Interactive,MEAN Stack Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=1ba35d0b34d7931a&bb=DGC1rP8Jns4gI28YbJcCmi1slPk76i4_3Y_W6fgL3Ge_UMHf-lxq5tbP2KJcOrbt7D1FkPgJrKQEU0-LKQ5_uw6g6J5lJy1b9k5xF16fMXVIyn40HmP2snWhbGYuZs_c&xkcb=SoD767M38KK3_-W9mh0ObzkdCdPP&fccid=a82f0a8bf903e230&vjs=3
127,Bloom Electronics Private Limited,Application Support Engineer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=343b6e744a940b5b&bb=DGC1rP8Jns4gI28YbJcCmokk_f7fo5-HliIaC74lR57MZ7wx6BuMspAm_roU69C81DwKZHIVCeOw7OLygaYs5_Jssm6DP61A1OINWkAHtt3yGZo9vc_u5TjIFfMahVjo&xkcb=SoBm67M38KK3_-W9mh0NbzkdCdPP&fccid=276ef5975b3fc9e7&cmp=Bloom-Electronics-Private-Limited&ti=Application+Support+Engineer&vjs=3
128,Srijan Technologies PVT LTD,Data Engineering Architect,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=339d810f87873972&bb=DGC1rP8Jns4gI28YbJcCmjEKlUvBKdesls8xEZEJVNsJZOdhUHJtWqyYKWNcG-itnakTwJocMxnSoqxToBARYHN1tVuBai9U9QdTc-gjcMAl4koDOSsyIx5yucB163qe&xkcb=SoDS67M38KK3_-W9mh0MbzkdCdPP&fccid=ce26d549c132788a&vjs=3
129,Invokhr,Sr. Software Developer,Delhi,https://in.indeed.com/rc/clk?jk=96d2954594dfb040&bb=DGC1rP8Jns4gI28YbJcCmsvXGKQ4LUp0dpeodpdrMfSDvC4Cw5I58mEnfRUvINogJLdCz0jjL_cxymvb5IjOHwHRwzrn2sCATjHM885mauBg3fWUGbFlsUVyMJY4lxhv&xkcb=SoA767M38KK3_-W9mh0DbzkdCdPP&fccid=549aa1dd2b64d8b3&vjs=3
130,Crypto Mize,Artificial Intelligence Developer,Delhi,https://in.indeed.com/rc/clk?jk=847f29922c4db6f3&bb=DGC1rP8Jns4gI28YbJcCmvLaR7Tsq3LDYr8AV9Rwcms5Dvn0BF7DfC1Ng8n74zJqrrx4_qKGNz3_fkOb6l1Mn5mfqWAbr9JTTjm0fzhm8i-wb1i6VyWvna2N4mknkLuQ&xkcb=SoCP67M38KK3_-W9mh0CbzkdCdPP&fccid=bdad58a8df3ba8a4&vjs=3
131,Industrybuying,Android App Developer (4),"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=1d2fe3a725daff2d&bb=DGC1rP8Jns4gI28YbJcCmtHA2ukWEpu_BJid4ppxuP7kA0NCR2gxLChBufXkdmHQbri28AXuYxfQxj0boB5H9ahsTYynRjwwGZGExFpJxbberG1UCaVV-zvd9ING-Hvc&xkcb=SoAS67M38KK3_-W9mh0BbzkdCdPP&fccid=74d60d79f63b84eb&vjs=3
132,TBM Technologies Pvt. Ltd.,Urgent Opening for System and Network Administrator (Linux),"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=fa1c706f87536ea7&bb=DGC1rP8Jns4gI28YbJcCmqiObK7dF69FJmQuq-uP8JiK7gweGV5hl5QzEKO_G_EHVXi3SPQG7QTNlMgQ-zKk5d-ra5ai4DBBTcxqQDBE7nQh9V61a1TWkDXUxCn4hsAS&xkcb=SoCm67M38KK3_-W9mh0AbzkdCdPP&fccid=2c5c98843118756a&vjs=3
133,Imurgence,Full Stack Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=da2e4ec58c122767&bb=DGC1rP8Jns4gI28YbJcCmu9QMkdtlO9LVYbowB1b-WzUvCJc6shSwhtzdEIYonDotDofjg5V0UCroURgKtLDOutsdI-UUIkRv7AmGgV5eWK25k7b1xLw8TQbw_J8EoL2&xkcb=SoAo67M38KK3_-W9mh0HbzkdCdPP&fccid=cd8492a732b8eb63&vjs=3
134,Uvation,Software Engineer Backend(Django),"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=81329c303af16079&bb=DGC1rP8Jns4gI28YbJcCmnWbvx7O_eP6whqMjAsRLbAZDBx07L0KSOTRoQsw5oh7COSagP8cGZXCncXnbThBDCYwy6W3njcpwrsF2BNcxvyBRVHzPMZz6niJZYdNvli_&xkcb=SoCc67M38KK3_-W9mh0GbzkdCdPP&fccid=ade7c615896d91f4&vjs=3
135,Industrybuying,Back-end Web Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=64fd75fc3445fbfc&bb=DGC1rP8Jns4gI28YbJcCmqNDnVQVJVkd3VNpR-W82i26QY7mjHbncvPq1IuT1Yz4gO6HZwRDJxWU1hMaT5jZmStjm4m-gwVd64VaJigLpwT_oCuxwWcCdyyPqepwOpvc&xkcb=SoAB67M38KK3_-W9mh0FbzkdCdPP&fccid=74d60d79f63b84eb&vjs=3
136,Molitics Infomedia Pvt Ltd,AWS/DevOps Engineer,"Connaught Place, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=5cfa49d7c6ed5852&bb=dQ6DoKKSUTMfgpKS-7G-RRIojB2E68w9G7Dyu9za7rUaXV1tnPRYgNMz1wg91PKcmMONZiR1oKjNFdbi6DmFJ96fx0jcmDFS1260FbkB_2I1v-JF1ByPlMkpX0gLMmsZ&xkcb=SoCL67M38KK3LyQktZ0LbzkdCdPP&fccid=33b8ac0e5233d005&cmp=MOLITICS-INFOMEDIA-PVT-LTD&ti=Development+Operations+Engineer&vjs=3
137,NeGD,Sr. Consultant - DB Developer,Delhi,https://in.indeed.com/rc/clk?jk=6712e787c3e82e08&bb=dQ6DoKKSUTMfgpKS-7G-RQvB8u1MW46d1WnYzvZx4KyV0ucVLUJvrPTvgpT__hIa_Pe4Drg-fL7inZa1-z5dTARgYhbEJ-fq_yXlB3xlo5ehyVT7MwxQ2xfMflIcVUDo&xkcb=SoA_67M38KK3LyQktZ0KbzkdCdPP&fccid=e457831f0ffee7b2&vjs=3
138,HashStudioz,Embedded Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=4a518573e47ba8f4&bb=dQ6DoKKSUTMfgpKS-7G-RdnV2hbvTJ1AJ8QbKombSWv0Rh22EodhC_3VcQSM_F2YwDAsoB0ZFQc3HgeNZkzw86PhoBxIL3RVwg-IjG5ksmJtB4Ho61Ei42_9pCaKJPIW&xkcb=SoCi67M38KK3LyQktZ0JbzkdCdPP&fccid=1d4f992d1c8571f7&vjs=3
139,"Council on Energy, Environment and Water",Programme Associate â€“ Distributed Renewable Energy,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=18b922059693e0cc&bb=dQ6DoKKSUTMfgpKS-7G-ReNN6eruyjkmE8hHcLGCMziAgbIRRqqSUFM0ty_axgOIgVlnlfsuMIFUka3Sch6MvHrbpKoyf1B82OKgYWjOIJrrJFft2Ef9HGevAlL1LsMj&xkcb=SoAW67M38KK3LyQktZ0IbzkdCdPP&fccid=0a66f90fab2ee166&vjs=3
140,Mobishaala Edutech,Devops/Backend Software Engineer,Delhi,https://in.indeed.com/rc/clk?jk=5821c8c362cb686c&bb=dQ6DoKKSUTMfgpKS-7G-RRbFrDD8KUhZ4w4D5WA5f93SoT3XjFNfByjr9y-NMCzfRluv0MFLmEa6PZWeOXY2YQ9rU0bWqpTOzT2zeSb_RbUwxm4g5cdSp4GmpT1_h0V4&xkcb=SoCY67M38KK3LyQktZ0PbzkdCdPP&fccid=ee11f09d3ff457fe&vjs=3
141,MobileProgramming,Database Administrator (DBA),"Okhla, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=8e9615eef5b21d25&bb=dQ6DoKKSUTMfgpKS-7G-RaySvPwTb3usHyf75wGhMOiGqC_CclUAStKnUwrX2w3MSYtIZ4AVm_YmzXwpToi0_c4svEM-wk_eK_KjUdJpdut2crByVJH6JO3DBWnrtQMF&xkcb=SoAs67M38KK3LyQktZ0ObzkdCdPP&fccid=e70d0cb4e4e9ff3e&vjs=3
142,Chegg,Senior Software Engineer in Test,"Jasola, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=466df1340b33cca5&bb=dQ6DoKKSUTMfgpKS-7G-RYmXDXwEkRhxgEPpLPlsl-CF0YZDcHDd1ICU00LLja-uAQkRqxri7rteKhjypI_nLqwdVV-_BG8AllcX3YozmwfGh4KjHbsgZsnzwWXa7jCJ&xkcb=SoCx67M38KK3LyQktZ0NbzkdCdPP&fccid=a5cbd2514edf7804&vjs=3
143,Anteelo,Senior Software Engineer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=d099fca0070ed470&bb=dQ6DoKKSUTMfgpKS-7G-RdnBaZMKgQ4rgByedXNZQGCPREGZSpxEgg8-e2Oe7WBBEAP2orWeD2wMRV28lke6dQyr1j5URu3FBINFGv08qLx4diWS6XOPyU7vUwxq3BYL&xkcb=SoAF67M38KK3LyQktZ0MbzkdCdPP&fccid=a4732bfc9818f6f0&vjs=3
144,Zaco Computers,Hardware Engineer â€“ Server / Storages / Networking,Delhi,https://in.indeed.com/rc/clk?jk=eaf9c5d99cf76291&bb=dQ6DoKKSUTMfgpKS-7G-Rf4Mwl81D84daRfsI9gLC-NfWsS-91UUT2VV57tqOVaMBhfiZRILqqiwU4JJBbBYC8wLnivcf7xPjSNPZIbq61kW1quvoUJGuxSGTYIEuJPC&xkcb=SoDs67M38KK3LyQktZ0DbzkdCdPP&fccid=29da8a7adaf72094&vjs=3
145,Srijan Technologies PVT LTD,SDET(Software Development Engineer in Test),"Hybrid work in Delhi, Delhi",https://in.indeed.com/rc/clk?jk=b11c3e336dbef3c8&bb=dQ6DoKKSUTMfgpKS-7G-RSxTVuP3y2XhS-Cv5bb1TrHQ5Xk69vtiw66z6LoNE0jW99mZVO--GKm09t-Jm19Y03PTJfTF1yVAFvP6CokYZjQpAkDte42u9pyqWimDphp2&xkcb=SoBY67M38KK3LyQktZ0CbzkdCdPP&fccid=ce26d549c132788a&vjs=3
146,Secninjaz,Blockchain Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=e20a7273f36f2cb3&bb=dQ6DoKKSUTMfgpKS-7G-RdubnpHM0XNMWkEIi5lPdA_opfly8isdGhH2f9hIf4g9CSH5SC9Voo1gv8LarZ7-KCuvJHlfWslwGO6UHxvTA2o4h1IvjzZ3WA71UT-b2Vza&xkcb=SoDF67M38KK3LyQktZ0BbzkdCdPP&fccid=6148a294cd320472&vjs=3
147,Open Futures & Commodities,Quantitative Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=999310587ede1a00&bb=dQ6DoKKSUTMfgpKS-7G-RRV3mXnbwoVc29gTYSanhmI4U4nKZ5qzosGyXhAizUowc3ldc3OqN_FbVrb58UG1BPs0VcrjWVxKv11jghfTtz6IEcJ9yz4Xootv4ffg7yfQ&xkcb=SoBx67M38KK3LyQktZ0AbzkdCdPP&fccid=5d65a0a6921dc2c3&vjs=3
148,Gram Vaani Community Media Pvt. Ltd.,Software Engineer â€“ Android Developer,"Remote in Delhi, Delhi",https://in.indeed.com/rc/clk?jk=a87a2839d6bb2ca4&bb=dQ6DoKKSUTMfgpKS-7G-RWplP6o7cIedMnUKVAbBMIuKwOiTRw3qp-PsIx7MFjv78QjBMM1Kd-y7aCV67d5I7hVoLE_DOj2ZqRRw6mqO5QIySuDUveOrFQxItGbSVM--&xkcb=SoD_67M38KK3LyQktZ0HbzkdCdPP&fccid=f603ad88eeb57b39&vjs=3
149,Safe Securities,Engineering Manager,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=2f9c17caa5a0e94d&bb=dQ6DoKKSUTMfgpKS-7G-RTq3pM148bdrIsV5qgzzZ8jhnYWny0-RwdMHrh1ZalfOEyOBNxFSoDMi2UuBijnqRRhVm-OV6Xi8zjZAR79nQL8osGrtUL9o4FG9oQpQbSi6&xkcb=SoBL67M38KK3LyQktZ0GbzkdCdPP&fccid=e6de7eaebce48847&vjs=3
150,RTI International,Data Engineer & Software Developer,Delhi,https://in.indeed.com/rc/clk?jk=2d4ced4a3447c6ba&bb=dQ6DoKKSUTMfgpKS-7G-RZnpadjBumZPff5owxNfIf36Zb4TqN2DZayLKR93yexB7H4U-GE3VnPHBl2vakDpH4ce3weWUpC2icI9d-h3E8lqH_nLEd5WiQ%3D%3D&xkcb=SoDW67M38KK3LyQktZ0FbzkdCdPP&fccid=66c0d03b0a0ef2a6&vjs=3
151,C2Perform India,Director of Development Operations,Delhi,"https://www.glassdoor.co.in/job-listing/director-of-development-operations-c2perform-india-JV_KO0,34_KE35,50.htm?jl=1009208415928"
152,Dutos learning private ltd,Python Developer,Delhi,"https://www.glassdoor.co.in/job-listing/python-developer-dutos-learning-private-ltd-JV_KO0,16_KE17,43.htm?jl=1009333955002"
153,Roadcast Tech. Solutions Pvt. Ltd.3.9,Python developer,Delhi,"https://www.glassdoor.co.in/job-listing/python-developer-roadcast-tech-solutions-pvt-ltd-JV_KO0,16_KE17,48.htm?jl=1009412518634"
154,Surepass Technologies,Junior Python Developer,Delhi,"https://www.glassdoor.co.in/job-listing/junior-python-developer-surepass-technologies-JV_KO0,23_KE24,45.htm?jl=1009261039767"
155,NeGD3.3,Consultant - Software Developer(Python Developer),Delhi,"https://www.glassdoor.co.in/job-listing/consultant-software-developer-python-developer-negd-JV_KO0,46_KE47,51.htm?jl=1009419480093"
156,BigShyft3.9,Backend Developer - Python,Delhi,"https://www.glassdoor.co.in/job-listing/backend-developer-python-bigshyft-JV_KO0,24_KE25,33.htm?jl=1009145236413"
