,company,role,location,link
29,Innefu Labs Pvt. Ltd.,Python Developer,Delhi,https://in.indeed.com/rc/clk?jk=61d99138637f57e4&bb=d4AQ6oVVT2htvFbd2l1aY5d9Vdi9Dq7kwCEMAI-OOnZmqpbHEzdjeH1jryjhNd1eHGkKrjMpozFKzEOxDFW0PXfrdxj_GVzL-EnAD9tn7b6n6Fy3xog169BACS3Z8sVG&xkcb=SoCZ67M38KK-A4W2th0GbzkdCdPP&fccid=5c36da9694f987a9&vjs=3
30,Neural Niti Private Limited,Full Stack Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=bf0a57b9c9ea43e2&bb=d4AQ6oVVT2htvFbd2l1aY6XP3cM0f2Tm7lYDU59D27xr8jzWg9KHtc7_rKsYjO8JuEYR90LxnyPsA5zJjQpfa3-qylPStoLkwh1xvviNG1ZkOAI09uB7XD9QWsjoCiWI&xkcb=SoAE67M38KK-A4W2th0FbzkdCdPP&fccid=5193709f4072739b&cmp=Neural-Niti-Private-Limited&ti=Full+Stack+Developer&vjs=3
31,KRONICLE RESEARCH PRIVATE LIMITED,Software Tester Trainee,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=b77e4ba48f939fc9&bb=eqV-oCi9N1DgYkhWYEZOqm6Ekb7J19L-Vhgf_cE6p64XEkqI1L2gvmSSf22Qvzca0fcL7Y1CD8pzvKzOGT3pHMQ9HNGkG-zubCc1PzmK1dvGHUowVVwq-hKrhQTDc6lb&xkcb=SoA767M38KK9YJA1xL0LbzkdCdPP&fccid=6a2de083e4dbf935&cmp=KRONICLE-RESEARCH-PRIVATE-LIMITED&ti=Software+Trainee&vjs=3
32,Codevian Technologies,Generative AI Python LLM Developer,Delhi,https://in.indeed.com/rc/clk?jk=e43cf12417ce5cbc&bb=eqV-oCi9N1DgYkhWYEZOqr4djgojA-yOO64mRSOj5TI5RV7UgOIwK1AOlzT8S_ghPASma1TsSHkCafBSLvwNygpNzXX9TytZNAfbyhYBK0PB9Mq43NoII_E4PEIA42it&xkcb=SoCP67M38KK9YJA1xL0KbzkdCdPP&fccid=d346dd66501bb602&vjs=3
33,Aujas,Senior Consultant â€“ IS Automation Developer Python,Delhi,https://in.indeed.com/rc/clk?jk=028e5b842318f3dd&bb=eqV-oCi9N1DgYkhWYEZOqh9pZ7uD2CxJ-T60hBUeUCtJp6h0rV5djlBzcIH3rdXlAGspK2l93EL21Xc2AhmNZivWr_dViB_JXpbqdcFUFl1m7-dDFwE8BryWS4elq6-0&xkcb=SoAS67M38KK9YJA1xL0JbzkdCdPP&fccid=83e5d0faf248a16e&vjs=3
34,AKPS TECHNOLOGY PVT LTD,Sr. Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=ad6e7824100a0ef8&bb=eqV-oCi9N1DgYkhWYEZOqgMymADWtiC6Whs6ccs3GtTQsFzAZRwPOEwRCAZSVdzSAK5f4Bo6hy1WBXoRzGGuytdEZaKWO7vuMZvNBIvSdBVjLLN5hLk_AyIFohSznsJv&xkcb=SoCm67M38KK9YJA1xL0IbzkdCdPP&fccid=0bcc371d6e2fc2cd&cmp=AKPS-TECHNOLOGY-PVT-LTD&ti=Python+Developer&vjs=3
35,ar interiors,full stack developer,"Kalkaji, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=f8b37159e29dffdf&bb=eqV-oCi9N1DgYkhWYEZOqpD8CZG5S4kGrpM4c2j2-GZJvuTNX7adRzfM1pCA7n_EtFeGrXPzM_1JBoeTyUoT5ohbJytR_rP64QWAkMXdqrqVOtBKodQSfkqxZDRXaGWJ&xkcb=SoAo67M38KK9YJA1xL0PbzkdCdPP&fccid=55af1db2a473d366&cmp=A.R-Interiors&ti=Full+Stack+Developer&vjs=3
36,Need Software,Fullstack Backend Developer,"Hybrid work in Delhi, Delhi",https://in.indeed.com/rc/clk?jk=dbf2fab93a18b5e7&bb=eqV-oCi9N1DgYkhWYEZOqg2ewOYUx9lYy_zfedMXFBDDvLJgWaJLGtcKXuRkqtbnTEqDvkKvZZcYAobVsQw3gUa1JBvMxj7XS4UIffKRjnB2b_JL0HuRwI9fVT5HHEfc&xkcb=SoCc67M38KK9YJA1xL0ObzkdCdPP&fccid=b1c1bb4265cfb605&cmp=Need-Software&ti=Full+Stack+Developer&vjs=3
37,Salom Corporate Pvt Ltd,MCA Fresher,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=38deb9b7d9419b5c&bb=eqV-oCi9N1DgYkhWYEZOqr7PJ9xrVto9WowCEGif1c05co_RWauNdscpWDCZTDPewNqOp8Ow0oQ6OzjGrT0EBtmqNdyxpMrGe0plX_qaXB2cx7RRhhTLNvqM3uBL9NSz&xkcb=SoAB67M38KK9YJA1xL0NbzkdCdPP&fccid=09d83a19eb829a6d&cmp=Salom-Corporate-Pvt-Ltd&ti=Mca+Fresher&vjs=3
38,Tech Next,Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=3080df5c3fc36bbd&bb=eqV-oCi9N1DgYkhWYEZOqkN8NVvTI8d4bq8umnFCfiF3R8gl7-N_Mq3Zk7xpiNDDxo-fEXfDCuko_M5ancVIYK2nqWNzU-stddPZTbpFcGdKdnd_AbBfIfQlSofmpt74&xkcb=SoC167M38KK9YJA1xL0MbzkdCdPP&fccid=a9d28725facae1d5&cmp=Tech-Next&ti=Python+Developer&vjs=3
39,Roadcast Tech. Solutions Pvt. Ltd.,UNIX Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=233a8e2349880ab8&bb=eqV-oCi9N1DgYkhWYEZOqvaGuE0sDSNMW4WamwAXBAzzlwccBXxVNErCd_zHPVJ-42MtoAdYR39h1JOEn2Vur-6nItHox58ETbrItTseHM1qUvLZOQN676URqqthyjn7&xkcb=SoBc67M38KK9YJA1xL0DbzkdCdPP&fccid=fb59ae4606590939&cmp=Roadcast-Tech.-Solutions-Pvt.-Ltd.&ti=Developer&vjs=3
40,Grey Chain,LLM R&D Developer (Python),Delhi,https://in.indeed.com/rc/clk?jk=f220a9f3365040ae&bb=eqV-oCi9N1DgYkhWYEZOqrTF24qY3_Wj70FBh1fyo_LJBaWk7pyIXefia8yt-KVFaEWfBwhA7dmala98wk68qYyossxNrKfpaGqQoJJRJr0VQMX0IjugpKJznsQ-MbbO&xkcb=SoDo67M38KK9YJA1xL0CbzkdCdPP&fccid=89a8a09502786dca&vjs=3
